	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	array:ch1	block:ch1	condition:ch1	released co2 (g/l):ch1	strain:ch1	passed_global_correlation
GSM2497757	N_ERGO_T4_1	GSM2497757	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	N_ERGO_T4_biological repetition 1	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 75	array: 2	block: 3	condition: nitrogen plus ergsoterol starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 1, at 75 g/L released CO2 under nitrogen plus ergsoterol starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497757/suppl/GSM2497757_LAME2_253861910021_2015-03-12_580_580_3-8.gpr.gz	6268	2	3	nitrogen plus ergsoterol starvation	75	EC1118	True
GSM2497758	ERGO_T3_3	GSM2497758	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	ERGO_T3_biological repetition 3	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 40	array: 2	block: 4	condition: ergosterol starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 3, at 40 g/L released CO2 under ergosterol starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497758/suppl/GSM2497758_LAME2_253861910021_2015-03-12_580_580_4-8.gpr.gz	6268	2	4	ergosterol starvation	40	EC1118	True
GSM2497759	TWN_T4_2	GSM2497759	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	TWN_T4_biological repetition 2	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 75	array: 2	block: 5	condition: oleic acid starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 2, at 75 g/L released CO2 under oleic acid starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497759/suppl/GSM2497759_LAME2_253861910021_2015-03-12_580_580_5-8.gpr.gz	6268	2	5	oleic acid starvation	75	EC1118	True
GSM2497760	MS71_T1_1	GSM2497760	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	MS71_T1_biological repetition 1	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 1	array: 2	block: 6	condition: nitrogen starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 1, at 1 g/L released CO2 under nitrogen starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497760/suppl/GSM2497760_LAME2_253861910021_2015-03-12_580_580_6-8.gpr.gz	6268	2	6	nitrogen starvation	1	EC1118	True
GSM2497761	N_ERGO_T2_3	GSM2497761	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	N_ERGO_T2_biological repetition 3	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 12	array: 2	block: 7	condition: nitrogen plus ergsoterol starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 3, at 12 g/L released CO2 under nitrogen plus ergsoterol starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497761/suppl/GSM2497761_LAME2_253861910021_2015-03-12_580_580_7-8.gpr.gz	6268	2	7	nitrogen plus ergsoterol starvation	12	EC1118	True
GSM2497762	MS71_T1_2	GSM2497762	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	MS71_T1_biological repetition 2	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 1	array: 2	block: 8	condition: nitrogen starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 2, at 1 g/L released CO2 under nitrogen starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497762/suppl/GSM2497762_LAME2_253861910021_2015-03-12_580_580_8-8.gpr.gz	6268	2	8	nitrogen starvation	1	EC1118	True
GSM2497763	ERGO_T1_2	GSM2497763	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	ERGO_T1_biological repetition 2	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 1	array: 5	block: 1	condition: ergosterol starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 2, at 1 g/L released CO2 under ergosterol starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497763/suppl/GSM2497763_Lame5_253861910033_2015-04-02_580_580_1-8.gpr.gz	6268	5	1	ergosterol starvation	1	EC1118	True
GSM2497764	MS71_T4_2	GSM2497764	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	MS71_T4_biological repetition 2	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 75	array: 5	block: 2	condition: nitrogen starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 2, at 75 g/L released CO2 under nitrogen starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497764/suppl/GSM2497764_Lame5_253861910033_2015-04-02_580_580_2-8.gpr.gz	6268	5	2	nitrogen starvation	75	EC1118	True
GSM2497765	N_ERGO_T3_1	GSM2497765	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	N_ERGO_T3_biological repetition 1	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 40	array: 5	block: 3	condition: nitrogen plus ergsoterol starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 1, at 40 g/L released CO2 under nitrogen plus ergsoterol starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497765/suppl/GSM2497765_Lame5_253861910033_2015-04-02_580_580_3-8.gpr.gz	6268	5	3	nitrogen plus ergsoterol starvation	40	EC1118	True
GSM2497766	NICO_T3_3	GSM2497766	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	NICO_T3_biological repetition 3	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 40	array: 5	block: 4	condition: nicotinic acid starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 3, at 40 g/L released CO2 under nicotinic acid starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497766/suppl/GSM2497766_Lame5_253861910033_2015-04-02_580_580_4-8.gpr.gz	6268	5	4	nicotinic acid starvation	40	EC1118	True
GSM2497767	MS71_T3_3	GSM2497767	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	RNA	1	MS71_T3_biological repetition 3	Saccharomyces cerevisiae	strain: EC1118	released co2 (g/l): 40	array: 5	block: 5	condition: nitrogen starvation	Cells were sampled at 4 time-point during the alcoholic fermentation (20 106cells/ml, 12 g of CO2 released, 40 g of CO2 released and 75 g of CO2 released). 10^9 cells were pelleted, washed with DEPC-treated water and freezed in methanol at -80°C.	Yeast cells were first pre-cultured with shaking (180rpm) overnight at 28°C  in 50ml flasks containing YNB medium. After centrifugation, pellets were washed with synthetic must. These pre-cultures were used to inoculate fermentations (10^6 cells/ml) in synthetic must. Fermentation experiments were performed at 24°C in fermenters with a working volume of 1.1l. The synthtetic must used contains 230g/l of sugars ( (115g/L glucose and 115g/l of fructose), and either 71 or 425 mg/L of yeast assimilable nitrogen (free amino acids and ammonium).	total RNA	Total RNA extraction were performed with Trizol reagent (Gibco BRL, Life Technologies), purified by isopropanol precipitation then using RNeasy kit (Qiagen).	Cy3	Cy3-labeled cRNA was synthesized with the One color RNA Spike-In kit (Agilent Technologies) and purified with RNeasy kit (Qiagen). Quality and quantity of RNA were controlled at each step by spectrometry (NanoDrop 1000, Thermo Scientific).	4932	Agilent gene expression microarrays 8x15k was used for the micro array hybridization, with one-color method. Array design is based on ID 038619 completed with the regions A, B and C + KHR1 + MPR1 from the new regions of EC1118  (Agilent Technologies, Santa Clara, CA, USA). 600ng of labeled cRNA were hybridized for 17h in 65°C in a rotative hybridization oven (Corning) using the Expression Hybridization kit (Agilent Technologies, 5188-5242). Plates were washed with expression wash buffer kit (Agilent Technologies, 5188-5325 5188-5326).	The array pictures were analyzed on a GenePix 4000B laser Scanner (Axon Instruments) and with the GenePix software Pro7.	Gene expression in sample from EC1118 strain, biological rep 3, at 40 g/L released CO2 under nitrogen starvation	Data normalization and statistical analysis were performed using the R 3.1.3 software and the limma package. Normalization was done by the quantile method considering all arrays.	GPL17690	Bruno,,Blondin	bruno.blondin@supagro.inra.fr	SPO	UMR1083	INRA	2 place Pierre Viala	Montpellier	34060	France	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2497nnn/GSM2497767/suppl/GSM2497767_Lame5_253861910033_2015-04-02_580_580_5-8.gpr.gz	6268	5	5	nitrogen starvation	40	EC1118	True
